Name,State,YEAR,Region_type,FAH,FAFH,Total nominal food sales,FAH.1,FAFH.1,Total constant dollar food sales,NUMBER_OF_EVENTS,DAMAGE_PROPERTY,DAMAGE_CROPS,diversity,tons,FAH_diff,FAH_percent_change,FAFH_diff,FAFH_percent_change,Total nominal food sales_diff,Total nominal food sales_percent_change,Total constant dollar food sales_diff,Total constant dollar food sales_percent_change,NUMBER_OF_EVENTS_diff,NUMBER_OF_EVENTS_percent_change,DAMAGE_PROPERTY_diff,DAMAGE_PROPERTY_percent_change,DAMAGE_CROPS_diff,DAMAGE_CROPS_percent_change,diversity_diff,diversity_percent_change,tons_diff,tons_percent_change
Ames,IOWA,2014,CSA,7020.8,5532.02,12552.82,"3,418.69","2,706.23",6124.92,2571,74117300.0,14003800.0,0.4402417789763311,12759.818513243295,239.98999999999978,3.539252685151184,459.8700000000008,9.066569403507408,699.8600000000006,5.904516677690652,202.59000000000015,3.420782023291502,401.0,18.47926267281106,-37915400.0,-33.843154721791045,-954066200.0,-98.55343105353953,-0.010692386654062191,-2.3711635686585297,1605.1305382188239,14.389739469295225
Ames,IOWA,2015,CSA,7100.15,5976.74,13076.9,"3,417.45","2,842.50",6259.95,2102,42875500.0,10831000.0,0.4636865483421559,13006.37647718573,79.34999999999945,1.130213081130349,444.71999999999935,8.039016489455907,524.0799999999999,4.17499812791069,135.02999999999975,2.2046002233498507,-469.0,-18.241929210423958,-31241800.0,-42.15183229826235,-3172800.0,-22.65670746511661,0.02344476936582479,5.325430362456651,246.55796394243407,1.9322999279851372
Anderson,SOUTH CAROLINA,2013,CSA,9918.24,9398.86,19317.1,"4,944.94","4,709.72",9654.65,920,18369000.0,10000.0,0.5409695690161644,756.7406000000001,154.5599999999995,1.5830096848729047,602.4800000000014,6.849181140423699,757.0399999999972,4.078866124355196,240.82999999999993,2.5582600899528574,-355.0,-27.84313725490196,9547500.0,108.22989287536133,-550000.0,-98.21428571428571,-0.002932124223734567,-0.5390908431022856,-48.995399999999904,-6.08082548129908
Anderson,SOUTH CAROLINA,2014,CSA,10279.53,10326.1,20605.63,"5,005.48","5,051.47",10056.95,782,12054900.0,27200.0,0.5443526604972361,759.6957,361.2900000000009,3.6426825727145173,927.2399999999998,9.865451767554777,1288.5300000000025,6.67041119008549,402.3000000000011,4.166904030700236,-138.0,-15.000000000000002,-6314100.0,-34.37367303609342,17200.0,172.00000000000003,0.0033830914810716317,0.6253755617389611,2.955099999999902,0.3905036943967266
Anderson,SOUTH CAROLINA,2015,CSA,10292.62,11156.6,21449.22,"4,954.05","5,306.01",10260.06,1317,153771870.0,24847000.0,0.5455420802767772,754.4661,13.090000000000146,0.12734045233586677,830.5,8.04272668287156,843.5900000000001,4.093978199162085,203.10999999999876,2.019598387184973,535.0,68.41432225063939,141716970.0,1175.5963964860762,24819800.0,91249.26470588235,0.0011894197795411232,0.21850169308526013,-5.229600000000005,-0.6883808872420905
Ann Arbor,MICHIGAN,2013,CSA,19056.58,16959.79,36016.37,"9,501.04","8,498.45",17999.49,1216,197171500.0,5000.0,0.632766465697898,3786.1319,606.6200000000026,3.2879204074155233,847.0600000000013,5.257085546645435,1453.6700000000055,4.205892479464879,471.34000000000015,2.689045906156662,224.0,22.580645161290324,152898280.0,345.35161436191004,-152795000.0,-99.9967277486911,0.01034497040314264,1.6620522397356563,-198.19309999999996,-4.974320618925409
Ann Arbor,MICHIGAN,2014,CSA,20308.14,17810.19,38118.33,"9,888.78","8,712.64",18601.42,1214,1880374000.0,0.0,0.6248469656175604,4392.74,1251.5599999999977,6.567600272451801,850.3999999999978,5.014213029760373,2101.959999999999,5.836123962520379,601.9299999999967,3.3441503064808975,-2.0,-0.164473684210531,1683202500.0,853.674339344175,-5000.0,-100.0,-0.007919500080337594,-1.251567601896053,606.6080999999999,16.02184276781271
Ann Arbor,MICHIGAN,2015,CSA,20858.57,19286.72,40145.29,"10,039.67","9,172.64",19212.31,878,79924000.0,0.0,0.6251811243501284,4481.810199999999,550.4300000000003,2.7103910057740377,1476.5300000000025,8.290366357686253,2026.9599999999991,5.317546702596876,610.890000000003,3.2841041167825047,-336.0,-27.67710049423394,-1800450000.0,-95.74956896872644,0.0,,0.0003341587325680351,0.05347849168759744,89.0701999999992,2.0276683800998674
Anniston,ALABAMA,2013,MSA,10204.54,7899.0,18103.54,"5,087.67","3,958.14",9045.82,935,8394450.0,6000.0,0.6306152021622281,469.0260779874303,371.9400000000005,3.78272277932592,398.77999999999975,5.316910703952682,770.7200000000012,4.44659322603016,260.6999999999989,2.967517802830222,-788.0,-45.7341845618108,949400.0,12.752097030913156,1000.0,19.999999999999996,-0.0029931817223528556,-0.4724024805356941,12.978426177893937,2.8458487016427503
Anniston,ALABAMA,2014,MSA,10592.28,8547.42,19139.7,"5,157.77","4,181.35",9339.12,890,38215160.0,0.0,0.6454936863265026,472.7579145422668,387.7399999999998,3.7996813183151845,648.4200000000001,8.208887200911509,1036.1599999999999,5.723521477014981,293.3000000000011,3.2423815640815423,-45.0,-4.8128342245989275,29820710.0,355.24316661603797,-6000.0,-100.0,0.014878484164274508,2.3593602109907463,3.731836554836491,0.795656516765475
