ID,State_FIPS,Name,Region_type,State,diversity_2012,diversity_2013,diversity_2014,diversity_2015
2208,22,New Orleans,CSA,Mississippi,0.6746656504868065,0.6653716354395071,0.6774677598148451,0.6728813420293568
2208,22,Metairie,CSA,Mississippi,0.6746656504868065,0.6653716354395071,0.6774677598148451,0.6728813420293568
2208,22,Hammond,CSA,Mississippi,0.6746656504868065,0.6653716354395071,0.6774677598148451,0.6728813420293568
2209,22,Shreveport,MSA,Louisiana,0.5197214652957021,0.5232015757140884,0.5215698514099182,0.5218193763382005
2209,22,Bossier City,MSA,Louisiana,0.5197214652957021,0.5232015757140884,0.5215698514099182,0.5218193763382005
2299,22,Remainder of Louisiana,RS,Louisiana,0.5876495642957673,0.5885123318040046,0.591619786553348,0.5956749011817101
2301,23,Bangor,MSA,Maine,0.3346091107558675,0.3299742656936917,0.3275543131787969,0.33204584741766974
2302,23,Portland,CSA,Maine,0.4175380986798143,0.41419131023138145,0.41020649970661416,0.41409123442924134
2302,23,Lewiston,CSA,Maine,0.4175380986798143,0.41419131023138145,0.41020649970661416,0.41409123442924134
2302,23,South Portland,CSA,Maine,0.4175380986798143,0.41419131023138145,0.41020649970661416,0.41409123442924134
2399,23,Remainder of Maine,RS,Maine,0.4586185648212603,0.445546089256297,0.46170382867384774,0.4591625985499987
2401,24,Baltimore,MSA,Maryland,0.5774298511449972,0.5773840319026792,0.5744763730117705,0.5752312404837613
2401,24,Columbia,MSA,Maryland,0.5774298511449972,0.5773840319026792,0.5744763730117705,0.5752312404837613
2401,24,Towson,MSA,Maryland,0.5774298511449972,0.5773840319026792,0.5744763730117705,0.5752312404837613
2402,24,Cumberland,MSA,West Virginia,0.6779325976598518,0.6734999325746935,0.6782970655287763,0.6763761639231927
2499,24,Remainder of Maryland,RS,Maryland,0.6074841604707841,0.6035588002048395,0.6021869031233753,0.6011369364846877
2502,25,Pittsfield,MSA,Massachusetts,0.39811454318582096,0.4181461068312863,0.40643430417440085,0.4081274652395921
2503,25,Springfield,CSA,Massachusetts,0.40664536648351524,0.4142244702359785,0.41642294971030314,0.4175210587816838
2503,25,Greenfield Town,CSA,Massachusetts,0.40664536648351524,0.4142244702359785,0.41642294971030314,0.4175210587816838
2599,25,Remainder of Massachusetts,RS,Massachusetts,0.4735885609244298,0.4843496989596927,0.5235786423319566,0.5032280717831504
2601,26,Detroit,CSA,Michigan,0.6224214952947553,0.632766465697898,0.6248469656175604,0.6251811243501284
